Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
22,34088.91592,23989.40503,406675.0017,158920.0973,84234.82751,122300.1703,113224.9215,135176.0245,27262.54611,244291.6308,141493.3299,198465.6113,123950.0297,200007.1156,432950.0855,537367.5793,228866.3657,297395.8405,268115.4366,178284.9894,38083.7427,55083.22309,338642.3247,130310.2682,254534.2522,21409.32755,197993.3467,141444.2634,26189.21752,27043.79152,129024.3183,M,R
23,36596.23286,25753.88008,436586.8687,170609.0302,90430.48976,131295.6247,121552.8708,145118.5271,29267.76809,262259.8333,151900.4846,213063.2063,133066.8349,214718.0917,464794.5444,576892.1812,245700.005,319269.9778,287835.9339,191398.254,40884.88819,59134.71884,363550.2343,139894.8834,273255.8227,22984.03206,212556.2056,151847.8092,28115.49376,29032.92361,138514.349,M,R
24,32073.7413,22571.26547,382634.3092,149525.4967,79255.26502,115070.3657,106531.6025,127185.0606,25650.91401,229850.2712,133128.917,186733.268,116622.6933,188183.6459,407356.135,505600.9631,215336.8744,279815.2124,252265.7268,167745.6285,35832.41291,51826.96485,318623.4007,122606.9447,239487.3975,20143.7099,186288.9214,133082.7511,24641.03551,25445.09115,121397.0141,M,R
25,27035.55999,19075.59771,344338.6036,145748.9783,89800.57037,100924.9171,88574.45306,126549.2444,25225.78471,176687.2065,143932.6695,152955.412,115322.5397,168870.9809,330685.7983,354228.1217,176367.0658,248832.1232,234937.5789,189843.467,40988.90563,41768.56815,249668.4093,123667.9776,250354.4252,22584.07903,147528.264,107264.5752,26001.09157,26125.22778,119048.8039,M,R
26,26490.68923,18691.15088,337398.8533,142811.5745,87990.74269,98890.89096,86789.33638,123998.7893,24717.3879,173126.2782,141031.8714,149872.7708,112998.346,165467.5797,324021.2046,347089.0595,172812.5895,243817.1967,230202.681,186017.3893,40162.82117,40926.77048,244636.6283,121175.5911,245308.8184,22128.92278,144555.0007,105102.7805,25477.06934,25598.70372,116649.5115,M,R
27,25512.9739,18001.30002,324946.175,137540.7013,84743.19043,95241.03727,83586.12548,119422.2561,23805.12137,166736.5533,135826.6832,144341.2837,108827.8159,159360.5211,312062.2671,334278.7362,166434.4422,234818.4195,221706.3868,179151.8808,38680.49636,39416.24992,235607.6076,116703.2563,236254.9886,21312.19103,139219.7813,101223.6591,24536.76458,24653.9097,112344.2247,M,R
28,29009.88213,20468.62877,369484.5717,156392.569,96358.42433,108295.1472,95042.76752,135790.7387,27067.94463,189590.119,154443.6209,164125.2659,123744.183,181203.0989,354834.7448,380096.2903,189246.5993,267003.5526,252094.3333,203707.1399,43982.19683,44818.79566,267900.91,132699.0621,268637.0235,24233.32348,158301.7903,115097.7706,27899.86972,28033.07121,127742.5646,M,R
29,25835.6049,18228.94017,329055.367,139280.0082,85814.83264,96445.43275,84643.13572,120932.4416,24106.15527,168845.0641,137544.3151,146166.5892,110204.0266,161375.7564,316008.5322,338505.9455,168539.1326,237787.8773,224510.033,181417.3928,39169.64071,39914.69843,238587.0454,118179.0579,239242.6129,21581.69992,140980.3215,102503.7094,24847.05066,24965.67717,113764.903,M,R
30,19350.22389,17789.01502,253869.6778,121200.3183,78816.00202,118034.0699,92641.4667,128474.1324,22176.26242,169059.3016,146125.3937,166903.2471,107280.9307,192625.6243,279829.9933,324817.0201,155653.3596,211658.5972,182227.3053,175158.0347,34006.38528,41526.48631,269469.2435,143931.77,263230.6695,17676.30743,122281.4764,97172.72936,27465.17056,26079.2846,100351.5009,M,R
31,20106.70435,18484.46135,263794.4957,125938.5411,81897.2462,122648.5109,96263.2056,133496.7187,23043.22443,175668.5304,151838.041,173428.1868,111474.9869,200156.1584,290769.7075,337515.4637,161738.4946,219933.2091,189351.326,182005.6882,35335.83582,43149.92878,280003.9131,149558.6595,273521.4474,18367.34755,127061.9661,100971.6141,28538.89791,27098.83193,104274.657,M,R
32,19731.16626,18139.22231,258867.5381,123586.3546,80367.63027,120357.7731,94465.27295,131003.3662,22612.8402,172387.5241,149002.1228,170189.0239,109392.9399,196417.7903,285338.9269,331211.6006,158717.6631,215825.4599,185814.7625,178606.3212,34675.85933,42344.00646,274774.208,146765.3139,268412.817,18024.29587,124688.7971,99085.74128,28005.86957,26592.70007,102327.0924,M,R
33,18644.46917,17140.20178,244610.3676,116779.8166,75941.37036,113729.0498,89262.58315,123788.3351,21367.43446,162893.254,140795.8074,160815.8366,103368.1065,185600.0495,269623.8405,312970.0695,149976.2628,203938.8387,175580.9852,168769.5499,32766.08091,40011.90363,259640.9751,138682.1911,253629.9388,17031.60494,117821.5419,93628.57846,26463.44189,25128.10293,96691.41166,M,R
34,21535.14751,19797.65529,282535.2817,134885.609,87715.48271,131361.8447,103102.0448,142980.7431,24680.28716,188148.5722,162625.0903,185749.0676,119394.5186,214375.8778,311426.8969,361493.6178,173228.9031,235557.9521,202803.4364,194935.9415,37846.20412,46215.43467,299896.2668,160183.7744,292953.2665,19672.22136,136088.8455,108144.9534,30566.39047,29024.0177,111682.6548,M,R
35,20191.95703,18203.01974,243181.7164,145253.3079,92790.01306,123625.9211,102153.5165,147969.1851,20356.16428,191587.4285,161932.3367,210569.049,120753.2167,199057.936,318704.1376,368872.2209,184351.2393,262482.5262,187511.7676,177231.2866,29782.39861,89236.49431,425774.6466,172349.3496,262126.4363,14516.65917,153865.886,139998.6758,27020.39572,24789.76011,94500.35153,M,R
36,22259.47824,20066.88709,268081.896,160126.2741,102291.0891,136284.3877,112613.3527,163120.239,22440.49922,211204.6985,178513.1238,232129.9098,133117.5376,219440.1359,351337.3074,406642.2666,203227.5719,289358.9795,206711.7172,195378.5837,32831.91683,98373.71387,469371.1197,189996.7691,288966.4284,16003.06787,169620.7226,154333.6028,29787.10333,27328.06557,104176.5548,M,R
37,23360.5875,21059.53547,281343.0989,168047.2379,107351.1208,143025.9654,118183.9956,171189.3052,23550.56303,221652.358,187343.6296,243612.6763,139702.4607,230295.1777,368716.9044,426757.6331,213280.627,303672.6955,216937.1224,205043.373,34456.01273,103239.9648,492589.4934,199395.3362,303260.7261,16794.69138,178011.3482,161968.0207,31260.58149,28679.90256,109329.8548,M,R
38,24367.31303,21967.09707,293467.592,175289.241,111977.4221,149189.6756,123277.14,178566.7158,24565.47557,231204.476,195417.2115,254111.1752,145722.9444,240219.7584,384606.7755,445148.7719,222471.9649,316759.4836,226286.0372,213879.7261,35940.8961,107689.0956,513817.6591,207988.2869,316329.7603,17518.45933,185682.755,168948.0396,32607.75761,29915.86421,114041.4297,M,R
39,25241.81685,22755.46098,303999.6736,181580.0909,115996.1123,154543.854,127701.359,184975.1891,25447.09112,239502.0341,202430.4221,263230.8181,150952.7073,248840.8605,398409.6963,461124.448,230456.1272,328127.4738,234407.0804,221555.5267,37230.75727,111553.8847,532257.7515,215452.6532,327682.3285,18147.16876,192346.6115,175011.314,33777.99778,30989.49663,118134.1938,M,R
40,28868.35368,25817.95576,389580.6414,177732.1457,115615.548,180723.5036,146051.7406,181790.5962,26150.32886,322561.5404,232663.3616,309887.629,152397.4429,225591.6864,517240.3412,526218.7884,286750.5248,371324.1739,262329.8481,239337.0637,38765.20027,111675.1773,519647.8595,206115.0597,294497.8795,15562.49607,207975.9117,198000.3452,30866.96565,30160.6728,110422.2182,M,R
41,26724.58664,23900.7116,360650.3413,164533.7375,107029.925,167302.9569,135205.9227,168290.8071,24208.40264,298608.0859,215385.7555,286875.3405,141080.3925,208839.2236,478830.0181,487141.7248,265456.4001,343749.601,242849.2055,221563.8677,35886.49235,103382.1667,481058.7539,190808.9333,272628.4354,14406.82345,192531.5983,183296.8184,28574.78148,27920.93801,102222.2524,M,R
42,29522.5576,26403.0327,398409.1735,181759.8456,118235.5846,184818.9926,149361.5109,185910.2673,26742.93792,329871.3104,237935.8924,316910.1876,155851.0172,230703.9616,528961.85,538143.7634,293248.7588,379738.9846,268274.6698,244760.8315,39643.68287,114205.9188,531423.9266,210785.9627,301171.6812,15915.16759,212688.9847,202487.3556,31566.46138,30844.16278,112924.5655,M,R
43,24326.17441,21755.72953,328283.5846,149767.5697,97424.46745,152288.2641,123071.7952,153187.4591,22035.80667,271809.3444,196055.8463,261129.5605,128419.0576,190096.8365,435857.1635,443422.9317,241632.8743,312899.6102,221054.5744,201679.5006,32665.84001,94104.07916,437885.8802,173684.6841,248161.2515,13113.87542,175252.7476,166846.7479,26010.32252,25415.15858,93048.26201,M,R
44,27557.75476,24645.84233,371894.0087,169663.2561,110366.6995,172518.8089,139421.1147,173537.4564,24963.12598,307917.5184,222100.6411,295818.9919,145478.7275,215350.014,493758.0657,502328.899,273732.2927,354466.3694,250420.2941,228471.3628,37005.29286,106605.2184,496056.2848,196757.6097,281127.924,14855.97187,198533.9807,189011.2964,29465.63143,28791.40368,105409.1425,M,R
45,32585.46852,26391.02671,376866.8981,177916.4209,117566.2827,184371.8311,135705.9618,165264.1964,25439.67812,300263.1709,231801.6591,275423.7202,141959.7146,196604.1337,487657.4911,476974.3921,297734.1495,337320.6895,271732.203,234100.5538,39382.51019,100757.5426,429532.7019,175804.949,263575.753,14704.38543,203721.4548,169624.7418,25190.57188,27311.53357,88665.21406,M,R
46,30814.48362,24956.70301,356384.5906,168246.8562,111176.6826,174351.4219,128330.4898,156282.2664,24057.05918,283944.193,219203.4901,260454.7395,134244.3579,185918.9121,461153.8349,451051.3508,281552.6211,318987.6756,256963.8522,221377.4424,37242.11344,95281.47939,406188.0651,166250.1405,249250.6964,13905.21802,192649.4145,160405.8209,23821.4916,25827.18132,83846.35576,M,R
