Age,Beijin,Tianjin,Hebei,Shanxi1,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guagnxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang,Gender,Hukou
,0.514939883,0.806418066,0.447638332,0.447638332,0.447638332,0.392787284,0.592234545,0.541796605,0.447638332,0.475965083,0.410968695,0.277095605,0.383745795,0.807722069,0.452030758,0.340151653,0.40444439,0.290011224,0.566942548,0.249004765,0.160965695,0.450732068,0.307434556,0.434580465,0.833044301,0.447638332,0.447638332,0.344731363,0.447638332,0.447638332,0.175544444,F,U
0,0.002468402,0.001964643,0.002985292,0.002985292,0.002985292,0.002971314,0.001983344,0.002146098,0.002985292,0.002301099,0.004432661,0.00517306,0.004446916,0.003944344,0.002433559,0.00104685,0.004366627,0.00305373,0.003071964,0.004515518,0.006453701,0.005178315,0.00385312,0.018385951,0.015760644,0.002985292,0.002985292,0.007988618,0.002985292,0.002985292,0.010836675,M,R
1,0.000810178,0.000474768,0.000787929,0.000787929,0.000787929,0.000933624,0.000670468,0.000684457,0.000787929,0.001115189,0.001353693,0.001140892,0.001080506,0.001594743,0.000584086,0.000640654,0.001322925,0.00168182,0.00095585,0.001342982,0.001555243,0.001999792,0.002009822,0.002944927,0.003911689,0.000787929,0.000787929,0.001753708,0.000787929,0.000787929,0.003473699,M,R
2,0.000489249,0.000286702,0.000475813,0.000475813,0.000475813,0.000563796,0.000404881,0.000413329,0.000475813,0.000673439,0.000817466,0.00068896,0.000652494,0.000963032,0.000352717,0.000386878,0.000798886,0.001015615,0.000577218,0.000810998,0.000939178,0.001207632,0.001213688,0.001778379,0.002362186,0.000475813,0.000475813,0.001059027,0.000475813,0.000475813,0.002097693,M,R
3,0.000370407,0.00021706,0.000360235,0.000360235,0.000360235,0.000426846,0.000306533,0.000312928,0.000360235,0.000509856,0.000618898,0.000521607,0.000493999,0.000729104,0.00026704,0.000292902,0.000604831,0.000768915,0.000437007,0.000614001,0.000711045,0.00091429,0.000918875,0.001346398,0.001788394,0.000360235,0.000360235,0.000801782,0.000360235,0.000360235,0.001588149,M,R
4,0.000295182,0.000172978,0.000287076,0.000287076,0.000287076,0.000340159,0.00024428,0.000249377,0.000287076,0.000406311,0.000493208,0.000415675,0.000393674,0.000581033,0.000212807,0.000233418,0.000481998,0.000612758,0.000348257,0.000489305,0.000566641,0.000728609,0.000732263,0.001072962,0.001425194,0.000287076,0.000287076,0.00063895,0.000287076,0.000287076,0.001265616,M,R
5,0.000139444,0.000287033,0.000377048,0.000377048,0.000377048,0.000395587,0.000234618,0.000214596,0.000377048,0.000366607,0.000400518,0.000382421,0.000348396,0.000577789,0.000269655,0.000302997,0.000412609,0.00051746,0.000375081,0.000503546,0.000472352,0.000714694,0.000659768,0.000913841,0.000837981,0.000377048,0.000377048,0.000410052,0.000377048,0.000377048,0.000809894,M,R
6,0.000132344,0.000272417,0.000357849,0.000357849,0.000357849,0.000375444,0.000222671,0.000203669,0.000357849,0.000347939,0.000380124,0.000362948,0.000330655,0.000548368,0.000255924,0.000287569,0.000391599,0.000491111,0.000355981,0.000477905,0.000448299,0.000678302,0.000626172,0.000867308,0.00079531,0.000357849,0.000357849,0.000389172,0.000357849,0.000357849,0.000768654,M,R
7,0.000133634,0.000275073,0.000361337,0.000361337,0.000361337,0.000379103,0.000224841,0.000205654,0.000361337,0.000351331,0.000383829,0.000366486,0.000333878,0.000553713,0.000258418,0.000290372,0.000395416,0.000495898,0.000359452,0.000482564,0.000452669,0.000684914,0.000632276,0.000875763,0.000803063,0.000361337,0.000361337,0.000392966,0.000361337,0.000361337,0.000776147,M,R
8,0.000131757,0.00027121,0.000356263,0.000356263,0.000356263,0.00037378,0.000221684,0.000202766,0.000356263,0.000346398,0.00037844,0.00036134,0.00032919,0.000545938,0.00025479,0.000286295,0.000389864,0.000488935,0.000354404,0.000475788,0.000446313,0.000675297,0.000623398,0.000863466,0.000791787,0.000356263,0.000356263,0.000387448,0.000356263,0.000356263,0.000765248,M,R
9,0.000133751,0.000275314,0.000361655,0.000361655,0.000361655,0.000379437,0.000225039,0.000205835,0.000361655,0.00035164,0.000384166,0.000366808,0.000334172,0.0005542,0.000258646,0.000290627,0.000395763,0.000496334,0.000359767,0.000482988,0.000453067,0.000685516,0.000632832,0.000876532,0.000803769,0.000361655,0.000361655,0.000393311,0.000361655,0.000361655,0.000776829,M,R
10,0.000477632,0.000497072,0.000384678,0.000384678,0.000384678,0.000462894,0.000298999,0.000348827,0.000384678,0.000443113,0.000374465,0.000445744,0.000490057,0.000545808,0.000369397,0.000367239,0.000528941,0.000500159,0.000422597,0.00041338,0.000476468,0.000662498,0.000633008,0.00071917,0.000777976,0.000384678,0.000384678,0.000453393,0.000384678,0.000384678,0.000610527,M,R
11,0.000470038,0.000489168,0.000378562,0.000378562,0.000378562,0.000455533,0.000294245,0.00034328,0.000378562,0.000436068,0.000368511,0.000438657,0.000482265,0.000537129,0.000363523,0.0003614,0.000520531,0.000492206,0.000415878,0.000406807,0.000468892,0.000651964,0.000622943,0.000707735,0.000765605,0.000378562,0.000378562,0.000446184,0.000378562,0.000378562,0.000600819,M,R
12,0.000450178,0.000468501,0.000362567,0.000362567,0.000362567,0.000436287,0.000281813,0.000328777,0.000362567,0.000417644,0.000352941,0.000420123,0.000461889,0.000514435,0.000348164,0.00034613,0.000498538,0.00047141,0.000398307,0.000389619,0.000449081,0.000624418,0.000596623,0.000677833,0.000733258,0.000362567,0.000362567,0.000427333,0.000362567,0.000362567,0.000575434,M,R
13,0.000463654,0.000482525,0.00037342,0.00037342,0.00037342,0.000449346,0.000290249,0.000338618,0.00037342,0.000430145,0.000363506,0.000432699,0.000475715,0.000529834,0.000358586,0.000356491,0.000513461,0.000485521,0.000410229,0.000401282,0.000462524,0.000643109,0.000614482,0.000698123,0.000755207,0.00037342,0.00037342,0.000440124,0.00037342,0.00037342,0.000592659,M,R
14,0.00051683,0.000537865,0.000416247,0.000416247,0.000416247,0.000500882,0.000323537,0.000377454,0.000416247,0.000479478,0.000405196,0.000482325,0.000530275,0.0005906,0.000399712,0.000397377,0.00057235,0.000541205,0.000457278,0.000447305,0.00051557,0.000716867,0.000684957,0.00077819,0.000841822,0.000416247,0.000416247,0.000490602,0.000416247,0.000416247,0.000660631,M,R
15,0.000329452,0.000544788,0.000726737,0.000726737,0.000726737,0.000646277,0.000495747,0.000530607,0.000726737,0.000435019,0.000535408,0.000565922,0.000739984,0.000489314,0.000497846,0.000435633,0.000550034,0.000559048,0.000475998,0.000676542,0.000651647,0.000830808,0.000683607,0.00109092,0.00100153,0.000726737,0.000726737,0.000509928,0.000726737,0.000726737,0.000782802,M,R
16,0.000401446,0.00066384,0.00088555,0.00088555,0.00088555,0.000787508,0.000604082,0.00064656,0.00088555,0.000530083,0.00065241,0.000689593,0.000901692,0.000596243,0.000606639,0.000530832,0.000670233,0.000681216,0.000580017,0.000824386,0.000794051,0.001012364,0.000832995,0.001329317,0.001220394,0.00088555,0.00088555,0.000621362,0.00088555,0.00088555,0.000953867,M,R
17,0.000451559,0.000746707,0.000996092,0.000996092,0.000996092,0.000885812,0.000679489,0.00072727,0.000996092,0.000596253,0.00073385,0.000775674,0.00101425,0.000670671,0.000682366,0.000597095,0.000753897,0.000766252,0.00065242,0.000927293,0.000893172,0.001138737,0.000936977,0.001495255,0.001372734,0.000996092,0.000996092,0.000698926,0.000996092,0.000996092,0.001072938,M,R
