,    Beijin,   Tianjin,    Hebei,   Shanxi1,  Neimenggu,   Liaoning,    Jilin, Heilongjiang,   Shanghai,   Jiangsu,   Zhejiang,    Anhui,    Fujian,   Jiangxi,   Shandong,    Henan,    Hubei,    Hunan,  Guangdong,   Guagnxi,    Hainan,  Chongqing,   Sichuan,   Guizhou,    Yunnan,    Xizang,    Shanxi,    Gansu,   Qinghai,   Ningxia,   Xinjiang
32,88969.01761,58149.04115,128561.0934,58000.27175,73577.81467,116350.7189,54638.58763,65361.45726,108210.7004,261137.4477,174755.5678,77910.59734,92899.68164,59578.74029,246918.8755,145569.3441,100656.4299,101099.9013,290056.5799,60326.30652,13014.17053,49961.17687,108333.6243,29011.04143,45539.69989,3198.920308,63816.27272,25976.3348,8512.82456,10651.19556,34276.65866
33,92638.98959,60547.6891,133864.2385,60392.78296,76612.89952,121150.1861,56892.42937,68057.61737,112674.3918,271909.3675,181964.235,81124.40948,96731.79351,62036.36333,257104.2791,151574.0795,104808.5076,105270.2723,302021.4139,62814.76666,13551.00506,52022.07541,112802.3863,30207.74689,47418.21252,3330.87577,66448.69397,27047.85861,8863.978573,11090.55737,35690.57083
34,96344.54917,62969.59666,139218.8081,62808.49428,79677.4155,125996.1935,59168.12655,70779.92207,117181.3675,282785.7422,189242.8044,84369.38586,100601.0652,64517.81786,267388.4502,157637.0427,109000.8479,109481.0832,314102.2704,65327.35733,14093.04526,54102.95843,117314.4817,31416.05676,49314.94102,3464.110801,69106.64173,28129.77296,9218.537716,11534.17967,37118.19367
35,100077.9005,65409.66853,144613.5369,65242.32343,82764.91536,130878.546,61460.89145,73522.64405,121722.1454,293743.6897,196575.963,87638.69956,104499.3565,67017.8833,277749.7527,163745.4781,113224.6307,113723.4751,326273.7334,67858.79243,14639.15077,56199.44807,121860.4179,32633.42896,51225.89498,3598.345095,71784.5241,29219.80166,9575.756052,11981.12913,38556.52367
36,103830.8217,67862.5311,150036.5445,67688.91056,85868.59968,135786.4915,63765.67488,76279.7432,126286.7259,304759.078,203947.5617,90925.1508,108418.0824,69531.05393,288165.3684,169885.9336,117470.5544,117988.1055,338508.9984,70403.49714,15188.11892,58306.92737,126430.1836,33857.18255,53146.86604,3733.283036,74476.44375,30315.54422,9934.846904,12430.42147,40002.39331
37,107594.689,70322.54785,155475.3693,70142.63357,88981.33642,140708.7518,66077.1806,79044.88389,130864.6197,315806.5946,211340.6608,94221.18751,112348.2379,72051.55463,298611.363,176044.2987,121728.862,122265.1743,350779.9496,72955.62391,15738.68823,60420.55349,131013.2777,35084.50542,55073.43994,3868.614546,77176.21484,31414.4827,10294.9851,12881.02425,41452.48007
38,111360.5031,72783.83703,160917.0072,72597.62574,92095.68319,145633.5581,68389.88192,81811.45483,135444.8814,326859.8254,218737.5839,97518.92908,116280.4262,74573.35904,309062.7607,182205.8491,125989.3722,126544.4554,363057.2478,75509.07075,16289.54232,62535.27286,135598.7424,36312.46311,57001.01033,4004.016055,79877.38236,32513.98959,10655.30958,13331.8601,42903.31687
39,115118.9201,75240.29153,166347.9562,75047.79561,95203.9125,150548.6907,70698.04043,84572.59143,140016.1462,337891.3445,226119.9773,100810.1929,120204.8906,77090.20991,319493.6289,188355.2965,130241.5135,130815.3308,375310.4299,78057.50189,16839.31437,64645.83832,140175.2,37538.00874,58924.79443,4139.151597,82573.24401,33611.33674,11014.92628,13781.81038,44351.30381
40,118860.285,77685.601,171754.2648,77486.84897,98298.03966,155441.5232,72995.72675,87321.20065,144566.6709,348872.8132,233468.8766,104086.5242,124111.5495,79595.64173,329877.1718,194476.8436,134474.3627,135066.829,387508.0189,80594.3707,17386.59209,66746.82806,144730.894,38757.99402,60839.85025,4273.674024,85256.87444,34703.70519,11372.91139,14229.71922,45792.72119
41,122574.6689,80113.27603,177121.5855,79908.313,101369.8534,160299.0708,75276.84321,90049.98817,149084.3794,359775.0886,240764.779,107339.2281,127990.0355,82083.00554,340185.8334,200554.245,138676.6865,139287.6674,399617.6445,83112.94479,17929.92309,68832.66644,149253.7344,39969.18133,62741.09557,4407.226337,87921.15177,35788.19597,11728.31487,14674.39794,47223.74372
